iterations_cay,cost_vals_cay,gradient_vals_cay,iterations_exp,cost_vals_exp,gradient_vals_exp,iterations_pseudo,cost_vals_pseudo,gradient_vals_pseudo
101,16.033021416848683,0.027800294105797877,101,15.908808219415985,0.01752151056915603,101,15.908802384512992,0.018337351897216678
102,16.03298104662927,0.026323417052647957,102,15.908786824107379,0.017263424454940952,102,15.90878732208511,0.016442097631251814
103,16.032944356654664,0.024926029241764847,103,15.908772990130554,0.015472621770088893,103,15.908768638047743,0.016211630721119415
104,16.03291101838934,0.023603802065259742,104,15.908760609823089,0.015244021680241584,104,15.908756611759252,0.014539026638640781
105,16.032880719002883,0.022352518211944863,105,15.90874500560149,0.015025392817320616,105,15.90874585207274,0.014334654720271806
106,16.03285318642642,0.021168338137927442,106,15.90873512173425,0.013463265276239632,106,15.908732196974213,0.01413943052335767
107,16.03282816321058,0.020047530473732852,107,15.908722767110042,0.013269595495881229,107,15.908723603622363,0.012676927725088518
108,16.03280542413669,0.018986681925296338,108,15.90871487408571,0.011892669744343463,108,15.908712780418611,0.012503796912191842
109,16.03278475723896,0.017982483484944137,109,15.90870508813221,0.011721052438926767,109,15.908705915420052,0.011212697270442539
110,16.032765976143803,0.017031895410384853,110,15.908698783207434,0.01050718989392765,110,15.908697333505348,0.011059114902786353
111,16.032753520971603,0.016132033917145013,111,15.908693139509165,0.010355085820887393,111,15.908691847803857,0.00991917725316479
112,16.032739014965802,0.016624880248351563,112,15.908685990827781,0.01020965341246034,112,15.908685040440538,0.009782895695826044
113,16.032725817789647,0.015744430988523808,113,15.908681481418174,0.00914990303246973,113,15.908680655772404,0.008776285718293685
114,16.032713813243024,0.014910988982062378,114,15.908675816944763,0.00902101284994121,114,15.908676730559446,0.008655333568431806
115,16.03270289194905,0.01412198069633375,115,15.908672212872888,0.00808641986350882,115,15.908671748498277,0.008539850229093586
116,16.032692957508132,0.013375035819000023,116,15.908667722553968,0.00797214983992543,116,15.908668610311056,0.00765895183149557
117,16.03268391960016,0.012667862636810105,117,15.908664841286573,0.007147808613680598,117,15.908664657082605,0.0075564699209798546
118,16.032675698278545,0.011998342902644978,118,15.908661280246376,0.007046464058251119,118,15.90866214747194,0.0067783367015520745
119,16.032668218939687,0.011364433160442505,119,15.908658976214259,0.006319258874184156,119,15.908659009433544,0.00668736392990294
120,16.032661415301757,0.010764239123787796,120,15.90865691289764,0.006229350575197189,120,15.908657001985908,0.0059999145037614035
121,16.03265522572817,0.0101959370912835,121,15.908654308059617,0.006143442064237599,121,15.908654510109098,0.0059191328886152505
122,16.0326495952807,0.009657832135286088,122,15.908652657696507,0.005507946158031466,122,15.908652903940956,0.005311717019622465
